Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 2059,HCM 2059,GRANT,Hereford,Documented,1314-10-31T00:00:00Z,,"1314,  the Feast of St. Quintin the martyr [October 31], GRANT",,Hereford,,"1314, the Feast of St. Quintin the martyr [October 31], GRANT"
HCM 2066,HCM 2066,LEASE,chapter-house at Hereford,Documented,1325-02-28T00:00:00Z,,"1324/5,  Thursday next after the Feast of Ste Mathias the Apostle | February 28]",,chapter-house at Hereford,,"1324/5, Thursday next after the Feast of Ste Mathias the Apostle | February 28], LEASE"
HCM 2067,HCM 2067,COUNTERPART of LEASE,chapter-house at Hereford,Documented,1325-02-23T00:00:00Z,,"13/5,  Thursday next after the Feast of st. Mathias the Apostle | February 23].",,,"1324/5, how to handle?","13/5, Thursday next after the Feast of st. Mathias the Apostle | February 23]., COUNTERPART of 2066"
HCM 2068,HCM 2068,INSTITUTION,chapter-house at Hereford,Documented,1327-05-26T00:00:00Z,,"1327,  May 26.",,chapter-house of Hereford,,"1327, May 26., INSTITUTION"
HCM 207,HCM 207,GRANT,Hereford,Documented,1312-04-25T00:00:00Z,,"1312,  Tuesday the Feast of St. Mark the Evangelist [April 25]",,Hereford,,"1312, Tuesday the Feast of St. Mark the Evangelist [April 25], GRANT"
HCM 2072,HCM 2072,ACKNOWLEDGEMENT,chapter-house at Hereford,Documented,1317-06-04T00:00:00Z,,"1317,  June 4.",,chapter-house of Hereford,,"1317, June 4., ACKNOWLEDGEMENT"
HCM 2074,HCM 2074,GRANT in frank almoign,Hereford,Documented,1282-09-14T00:00:00Z,,"1282,  the Feast of the Exaltation of the Holy Cross i,  September 14)",,Hereford,Grant in frank almoign,"1282, the Feast of the Exaltation of the Holy Cross i, September 14), GRANT in frank alwoin"
HCM 2075,HCM 2075,AGREEMENT,chapter-house at Hereford,Documented,1345-07-06T00:00:00Z,,"1345,  July 6.",,chapter-house,,"1345, July 6., AGREEMENT"
HCM 2076,HCM 2076,COUNTERPART of AGREEMENT,chapter-house at Hereford,Documented,1345-07-06T00:00:00Z,,"1345,  duly 6.",,,"july 6, ?","1345, duly 6., COUNTERPART of 2075"
HCM 2077,HCM 2077,NOTARIAL INSTRUMENT,Hereford Cathedral,Documented,1346-07-29T00:00:00Z,,"1346,  July 29",,cathedral church of Hereford,,"1346, July 29, NOTARIAL INSTRUMENT"
HCM 2077-em,HCM 2077-em,GRANT,Canon Pyon Herefordshire,Documented,,1346-07-29T00:00:00Z,,,Pyonya Canonicorum?,"doc describes embedded doc as both a ""charter"" then a ""GRANT""--it's just one embedded doc though",added manually
HCM 2077-em,HCM 2077-em,(VACATE),(VACATE),Documented,,1346-07-29T00:00:00Z,,,,VACATE,
HCM 2078,HCM 2078,PRESENTATION,(Dinedor Herefordshire church of St Andrew's),Suggested,1353-12-19T00:00:00Z,,"1353,  December 19.",,,"dunre = Dinedor, hill village church 2.5 m from Hereford","1353, December 19., PRESENTATION"
HCM 2079,HCM 2079,MEMORANDUM,Llanwarne church of St John Baptist,Documented,1298-04-29T00:00:00Z,,"1298,  Wednesday the Vigil of Saints Phillip ,   ond James the Apostles i April 30]",,church of Lanwaran,,"1298, Wednesday the Vigil of Saints Phillip ,  ond James the Apostles i April 30], MEMORANDUM"
HCM 2087,"RBLR 3202, HCM 2087",ORDINANCE,chapter-house at Wormsley Priory,Documented,1332-03-26T00:00:00Z,,"1332,  Mareh 26.",,chapter-house at Wormesleye,,"1332, Mareh 26., ORDINANCE"
HCM 2089,"RBLR 3003, HCM 2089",INSPEXIMUS and CONFIRMATION,chapter-house at Hereford,Documented,1330-07-01T00:00:00Z,,"1330,  July 1.",,Hereford in the chapter,date of inspeximus,"1330, July 1., INSPEXIMUS AND CONFIRMATION"
HCM 2089-em1,"RBLR 3003-em1, HCM 2089-em1",GRANT,Ross-on-Wye,Documented,1330-06-06T00:00:00Z,,6 June 1330,,Rosy,,"Grant, 6 June 1330"
HCM 2089-em2,"RBLR 3003-em2, HCM 2089-em2",GRANT,Hereford,Documented,1330-06-06T00:00:00Z,,6 June 1330,,Hereford,,"Grant, 6 June 1330"
HCM 209,HCM 209,GRANT,Hereford,Documented,1316-11-25T00:00:00Z,,"1316,  Thursday the Feast of St. Katherine the Virgin [November 25]",,Hereford,,"1316, Thursday the Feast of St. Katherine the Virgin [November 25], GRANT"
HCM 2091,HCM 2091,MANDATE,London,Documented,1303-11-29T00:00:00Z,,"1303,  3 Kalends December November 29|.",,London,,"1303, 3 Kalends December November 29|., MANDATE"
HCM 2092,HCM 2092,ACTA,(Hereford),Suggested,1303-12-18T00:00:00Z,,"1303,  Wwedne next after the Feast ,   of St,  iucta the Virgin {December 18].",,,act before Official of Hereford,"1303, Wwedne next after the Feast ,  of St, iucta the Virgin {December 18]., ACTA"
HCM 2093,HCM 2093,ACTA,Hereford,Documented,1317-03-01T00:00:00Z,,1317/8 Wednesday the Feast of St. David [March 1].,,Hereford,,"1317/8 Wednesday the Feast of St. David [March 1]., ACTA"
HCM 2095,HCM 2095,QUITCLAIM,Hereford,Documented,1343-03-16T00:00:00Z,,"1342/3,  Sunday next after the Feast of St. Gregory the Pope [March 16]",,Hereford,,"1342/3, Sunday next after the Feast of St. Gregory the Pope [March 16], QUITCLAIM"
HCM 2096,HCM 2096,INSPEXIMUS and CONFIRMATION,chapter-house at Hereford,Documented,1315-05-25T00:00:00Z,,"1315,  May 25",,chapter,date of inspex & confirmation,"1315, May 25, INSPEXIMUS and confirmation"
HCM 2096-em,HCM 2096-em,GRANT,Hereford,Documented,1315-05-18T00:00:00Z,,18 May 1315,,Hereford,"(embedded doc)|for alienation in mortmain, (embedded doc)","GRANT, 18 May 1315"
HCM 2097,HCM 2097,QUITCLAIM,Hereford,Documented,1321-02-08T00:00:00Z,,"1320/1,  Sunday next after the Feast of the Purification of the Virgin Mary |February 8",,Hereford,,"1320/1, Sunday next after the Feast of the Purification of the Virgin Mary |February 8, QUITCLAIM"
HCM 21,HCM 21,GRANT,(Breinton),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,igizrca 130,approx,,land & people of Breynton & Hereford,"igizrca 130, GRANT"
HCM 2100,HCM 2100,INSPEXIMUS and CONFIRMATION,chapter-house at Hereford,Documented,1319-04-13T00:00:00Z,,"1319,  April 13.",,chapter of Hereford,"date of Inspeximus, separate into two docs?","1319, April 13., INSPEXIMUS and confirmation"
HCM 2100-em,HCM 2100-em,GRANT,Hereford,Documented,,1319-01-01T00:00:00Z,Saturday the viel of aia Edward II,,Hereford,"by royal license, (embedded doc)","GRANT, Saturday the viel of aia Edward II"
HCM 2162,HCM 2162,DUPLICATE,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1309-06-10T00:00:00Z,,"1309,  June 10",,,An error in C&E typescript has mis-numbered this doc: SHOULD be HCM 2602 (p.720/1309) but currently incorrectly IDed as HCM 2102 (which correlates to p.417-8 1258-71 (outside our parameters),"1309, June 10, HCM 2162 = DUPLICATE of HCM 2161 same date; typo in C&E has incorrectly called this ""HCM 2102"""
HCM 2111,HCM 2111,NOTIFICATION,Hereford,Documented,1359-07-04T00:00:00Z,,"1359,  July 4",,Hereford,,"1359, July 4, NOTIFICATION"
HCM 2122,HCM 2122,LEASE,Corse Gloucestershire,Documented,1346-11-29T00:00:00Z,,"1346,  Wednesday the vigil of St. Andrew the Apostle [November 29).",,Cors.,,"1346, Wednesday the vigil of St. Andrew the Apostle [November 29)., LEASE"
HCM 2128,HCM 2128,LETTER,Hereford,Documented,1283-03-12T00:00:00Z,,"1282/3,  St. Gregory [?March 12]",,Hereford,,"1282/3, St. Gregory [?March 12], LETTER"
HCM 2129,HCM 2129,NOTARIAL INSTRUMENT,Paris,Documented,1283-03-26T00:00:00Z,,"1283,  =e on which Jetare Jerusalem is sung |March 26].",,Paris,embedded doc (dated Hereford 1282 Jan) needs adding,"1283, =e on which Jetare Jerusalem is sung |March 26]., pu 9 reco t"
HCM 2130,HCM 2130,LETTER,Seez Abbey St Martin Lower Normandy,Suggested,1283-04-06T00:00:00Z,,"1283 MS, .1282,  Tuesday before Palm Sunday |April 6}",,monastery of St. Martin of Seez,,"1283 MS,.1282, Tuesday before Palm Sunday |April 6}, LETTER"
HCM 2131,HCM 2131,ARBITRATION AWARD,Wormsley Priory,Documented,1283-09-24T00:00:00Z,,"1283,  ouoansey "" before Feast’",,Wormele,"1283, September 25","1283, ouoansey "" before Feast’, ARBITRATION AWARD"
HCM 2132,HCM 2132,QUITCLAIM,Shrewsbury,Documented,1283-10-07T00:00:00Z,,"1283,  Thursday next after the Feast of St. Fides the Virgin and martyr Metober 7]",,Shrewsbury (Salop'),,"1283, Thursday next after the Feast of St. Fides the Virgin and martyr Metober 7], QUITCLAIM"
HCM 2133,HCM 2133,RESIGNATION,Wenlock Priory,Documented,1286-03-24T00:00:00Z,,"1286,  laseon 24",,Wenlak,,"1285/6, Sentny the Vigil of the Feast of he Angunciation of the Virgin Mary laseon 24, RESIGNATION"
HCM 2134,HCM 2134,QUITCLAIM,Wenlock Priory,Documented,1286-03-24T00:00:00Z,,"1285/6,  the Vigil of the Amunciation of ,   the Virgin Mary |March 24]",,Wenlak,QUITCLAIM of a rent,"1285/6, the Vigil of the Amunciation of ,  the Virgin Mary |March 24],, teelox"
HCM 2135,HCM 2135,RELINQUISHMENT,(Seez Abbey St Martin Lower Normandy),Suggested,1288-04-12T00:00:00Z,,"1288,  Monday after the Sundsy on which .   Misericordia domini is sung | April 12).",,,RELINQUISHMENT; letter from Seez Abbey,"1288, Monday after the Sundsy on which .   Misericordia domini is sung | April 12)., RELINQ@ISHMENT"
HCM 2136,HCM 2136,NOTARIAL INSTRUMENT,(London church of St Mary of Arches),Suggested,1336-02-22T00:00:00Z,,"1335/6,  9 Kalends of March February 22.",,,doc records ruling of court of arches,"1335/6, 9 Kalends of March February 22., NOTARIAL INSTRUMENT"
HCM 2137,HCM 2137,NOTIFICATION,Auckland Castle County Durham,Documented,1335-12-08T00:00:00Z,,"1335,  December 8.",,Aucland'.,,"1335, December 8., NOTIFICATION"
HCM 2140,HCM 2140,NOTIFICATION,London church of St Mary Aldermary,Documented,1335-05-08T00:00:00Z,,"1335,  8 Ides of May iMay 8].",,church of St. Mary of Aldermarychirch',church of st mary of the,"1335, 8 Ides of May iMay 8]., NOTIFICATION, London,"
HCM 2141,HCM 2141,NOTARIAL INSTRUMENT,London church of St Mary of Arches,Documented,1336-02-25T00:00:00Z,,"Post 1335/6,  6 Kalenis of March i February 25.","exact date, earliest year",London in the church of Ste Mary de Aldermarychurche,refers back to prev doc dated St Mary Aldermary,"Post 1335/6, 6 Kalenis of March i February 25., NOTARIAL INSTRUMENT"
HCM 2142,HCM 2142,NOTARIAL INSTRUMENT,London church of St Mary of Arches,Documented,1337-07-01T00:00:00Z,,"1337,  Kalends of July July 1.",,London,,"1337, Kalends of July July 1., NOTARIAL INSTRUMENT"
HCM 2143,HCM 2143,MANDATE,London,Documented|Suggested,1337-07-15T00:00:00Z,,"1337,  ides of July |July 15.",,London,,"1337, ides of July |July 15., MANDATE"
,,,London church of St Mary of Arches,,,,,,,,
HCM 2145,HCM 2145,LEASE,Bromfield Shropshire,Documented,1309-04-06T00:00:00Z,,"1309,  Sunday next after the Feast of St. Ambrose [April 6]",,Bromfeld',,"1309, Sunday next after the Feast of St. Ambrose [April 6], LEASE"
HCM 2146,HCM 2146,LEASE,Hereford,Documented,1355-05-20T00:00:00Z,,"1355,  the Feast of St. Ethelbert May 20",,Hereford,,"1355, the Feast of St. Ethelbert May 20, LEASE"
HCM 2147,HCM 2147,LEASE,Hereford,Documented,1361-05-20T00:00:00Z,,"1361,  the Feast of St. Ethelbert May 20.",,Hereford,,"1361, the Feast of St. Ethelbert May 20., LEASE"
HCM 215,HCM 215,GRANT,(Hereford),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,land in and people of Hereford,"circa 1300, GRANT,"
HCM 2161,HCM 2161,CONFIRMATION,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1309-06-10T00:00:00Z,,"1309,  June 10.",,Bosebury,"bad OCR needs correcting: correct doc # = ""HCM 2161"", current doc # (""HCM 2151')is incorrect (HCM 2151 actually dates to 1395)","1309, June 10., CONFIRMATION"
HCM 2156,HCM 2156,RECORD,(Research),Uncertain,1335-01-01T00:00:00Z,1337-12-31T00:00:00Z,1335-7].,,,request by proctor of Robt de Thene rector of Mershton; see other docs filed by this proctor?,"1335-7]., RECORD"
HCM 2157,HCM 2157,PROHIBITION,Carlisle Castle Cumbria,Documented,1335-07-08T00:00:00Z,,"1335,  July 8.",,Carlisle,,"1335, July 8., PROHIBITION"
HCM 2158,HCM 2158,PROHIBITION,Carlisle Castle Cumbria,Documented,1335-07-10T00:00:00Z,,"1335,  July 10",,,,"1335, July 10,, PROHIBITION, from King Edward LlHj to the official of the court of Canterbury and his commissary, Identical in content with No. 2157 dated 8 July 1335."
HCM 2159,HCM 2159,NOTARIAL INSTRUMENT,chapter-house at Hereford,Documented,1309-10-02T00:00:00Z,,"1309,  October 2",,chapter of Hereford,,"1309, October 2, NOTARIAL INSTRUMENT"
HCM 2163,HCM 2163,APPROPRIATION,(Hereford),Suggested,1330-03-06T00:00:00Z,,"1329/30,  March 6.",,,"principals = Bp of H, D&C of H","1329/30, March 6., APPROPRIATION"
HCM 2164,HCM 2164,ORDINANCES,Sugwas Court Herefordshire,Documented,1331-07-22T00:00:00Z,,"1331,  July 22.",,Sugwas,,"1331, July 22., ORDINANCES"
HCM 2165,"RBLR 3001, HCM 2165",LETTERS PATENT,(Research),Uncertain,1330-03-20T00:00:00Z,,"1329/30,  March 20.",,,Where is Ed III on this date?,"1329/30, March 20., LETTERS PATENT"
HCM 2166,HCM 2166,AGREEMENT,Hereford,Documented,1330-03-26T00:00:00Z,,"1330 gig for 1331,  Tuesday the morrow ,   the unciation of the Virgin Mary Merch 26).",,Hereford,,"1330 gig for 1331, Tuesday the morrow ,  the unciation of the Virgin Mary Merch 26)., AGREEMENT"
HCM 2169,HCM 2169,DRAFT OF AN AGREEMENT,(Hereford),Suggested,1346-12-24T00:00:00Z,,1347 .,,,concerns D&C & contains confirmation by Bp of H,"1347 ., DRAFT of an egreement"
HCM 217,HCM 217,GRANT,(Cheltenham),Suggested,1345-07-15T00:00:00Z,,"1345,  Friday next before the Feast of ,   St. argeret the Virgin [July 15 |",,**,"given at reads ""C ... ham"" in typescript","1345, Friday next before the Feast of ,  St. argeret the Virgin [July 15 |, GRANT"
HCM 2170,HCM 2170,INSPEXIMUS and CONFIRMATION,chapter-house at Hereford,Documented,1334-07-10T00:00:00Z,,"1334,  6 Ides of July July 10",,chapter,"date for inspex, subdivide?","1334, 6 Ides of July July 10, INSPEXIMUS and CONFIRMATION"
HCM 2170-em,HCM 2170-em,GRANT,chapter-house at Hereford,Documented,1334-07-07T00:00:00Z,,"nones of July,  1334",,chapter of Hereford,(embedded doc),"grant, nones of July, 1334"
HCM 218,"RBLR 1107, HCM 218",RELEASE,Hereford,Documented,1311-09-29T00:00:00Z,,"1311,  Wednesday the Feast of St. Michael [September 29]",,Hereford,ALSO in RBLR,"1311, Wednesday the Feast of St. Michael [September 29], RELEASE"
HCM 2183,HCM 2183,ACKNOWLEDGEMENT,(Gloucester),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"involves Gloucester St Peters, seneschal of County of GLos, etc","Late 13th. century, ACENOWLEDGEMENT"
HCM 2187,HCM 2187,MEMORANDUM,Hereford Cathedral treasury,Documented,1324-07-16T00:00:00Z,,"1324,  wonday next before the Feast of St. Keneln [July 16).",,treasury of Hereford,,"1324, wonday next before the Feast of St. Keneln [July 16)., MEMORANDUM"
HCM 219,HCM 219,GRANT,Hereford,Suggested,1317-04-11T00:00:00Z,,"1317,  April 11.",,Hereford,land in and people of H,"1317, April 11., GRANT"
HCM 2198,HCM 2198,GRANT in fee-farm,Bishampton Worcestershire,Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
HCM 22,HCM 22,GRANT,(Breinton),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,lands in & around Breynton|secondarily Hereford,"Leirea 1300, GRANT"
HCM 2200,HCM 2200,GRANT in fee-farm,(Netherton Herefordshire ),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century,LEerly 14th century},,land in and surnames of Netherton,"LEerly 14th century}., GRANT in fee-farm,"
HCM 2215,HCM 2215,QUITTANCE,(Research),Uncertain,1294-08-28T00:00:00Z,,"1294,  August 28",,,doc involves Frescobaldi (based in London?) & St Peter's Glouceser,"1294, August 28,, QUIZTANCE"
HCM 2217,HCM 2217,NOTIFICATION,Gloucester,Documented,1308-12-28T00:00:00Z,,"1308,  5 Kalends of January [December 28]",,Gloucester.,,"1308, 5 Kalends of January [December 28], NOTIFICATION"
HCM 2218,HCM 2218,GRANT,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land & principals of H,"Late 13th. century, GRANT"
HCM 2219,HCM 2219,AGREEMENT,chapter-house at Gloucester St Peter's,Documented,1351-05-06T00:00:00Z,,"1351,  May 6.",,chapter of the monastery,,"1351, May 6., AGREEMENT"
HCM 222,HCM 222,GRANT,Hereford,Documented,1322-05-31T00:00:00Z,,"1322,  Monday in the week of Pentecost May 31\",,Hereford,"GRANT, 1303","1322, Monday in the week of Pentecost May 31\, re OE, 1503, Tuesday next after the Feast of ,   ‘ St. Sames the Apostle July 30"", NOTARIAL INSTRUMERT"
HCM 2222,HCM 2222,NOTARIAL INSTRUMENT,Abergavenny church of St John,Documented,1303-07-30T00:00:00Z,,,,,,added manually
HCM 2226,HCM 2226,ORDER,Chirbury Shropshire,Documented,1308-06-10T00:00:00Z,,"1308,  Monday the morrow of the Feast of the Holy Trinity [June 10]",,Chirebury,probably Chirbury Priory (Augustinian)?,"1308, Monday the morrow of the Feast of the Holy Trinity [June 10], ORDER"
HCM 224,HCM 224,LEASE,Hereford,Documented,1295-08-05T00:00:00Z,,"1295,  Priday next before the Feast of ,   St. Leurenee the Martyr jAugust 5]",,Hereford,,"1295, Priday next before the Feast of ,  St. Leurenee the Martyr jAugust 5], LEASE"
HCM 2246,HCM 2246,INSPEXIMUS and CONFIRMATION,(Research),Uncertain,1312-12-28T00:00:00Z,,"1312,  December 28",,,"[where was Ed II on this date?]|date of inspeximus, but no need for additional docs, as embedded charters are pre 1282, this COPY of inspeximus is dated 1312 Dec 28, the same date as the ORIGINAL of the INSPEXIMUS (not to be confused with the much earlier embedded charter being confirmed)--basically two copies of same doc but notable even so","1312, December 28, INSPEXIMUS, Copy"
HCM 2248,HCM 2248,LETTERS PATENT,(Research),Uncertain,1331-10-11T00:00:00Z,,"1331,  October 11.",,,where was Ed III on this date?,"1331, October 11., LETTERS PATENT"
HCM 2250,HCM 2250,MANDATE,(Hereford),Suggested,1334-03-16T00:00:00Z,,"1334,  7 Kal. July June 25., 1334 March 16",,,of embedded letters patent|mandate by Dean of H,"1334, 7 Kal. July June 25., MANDATE, 1334 March 16"
HCM 2251,HCM 2251,LETTERS PATENT,(Research),Uncertain,1314-09-26T00:00:00Z,,"1314,  September 26",,,probably Westminster (or secondarily Tower of London) suggested on model of RB procurement of similar royal license; see CPR citation for prev doc?,"1314, September 26, LETTERS PATENT"
HCM 2254,HCM 2254,MANDATE,Corfe Castle,Documented,1344-09-15T00:00:00Z,,"1344,  September 15",,Corfe Castle.,,"1344, September 15, MANDATE"
HCM 2257,HCM 2257,MANDATE,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1306-12-02T00:00:00Z,,"1306,  December 2",,Bosebury,date of main doc,"1306, December 2, MANDATE"
HCM 2257-em,HCM 2257-em,KING'S WRIT,(Research),Uncertain,1306-11-03T00:00:00Z,,3 November 1306,,,wherever King was on 1306.11.3,"king's writ, 3 November 1306"
HCM 2259,HCM 2259,LETTERS PATENT,(Research),Uncertain,1330-12-10T00:00:00Z,,"1330,  December 10",,,wherever King was on 1330.12.10,"1330, December 10,, LETTERS PATENT"
HCM 226,HCM 226,GRANT in fee-farm,(Breinton),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people of Breynton vicinity,"Late 13th. century, GRANT in fee-farm"
HCM 2260,HCM 2260,LETTERS PATENT,Kings Langley Palace Hertfordshire,Documented,1316-03-21T00:00:00Z,,"1315/6,  March 21",,Langele,,"1315/6, March 21, LETTERS PATENT"
HCM 2261.a,HCM 2261.a,WRIT OF CERTORIARI,Warwick,Documented,1322-02-27T00:00:00Z,,"1321/2,  February 27",,Warwick,WRIT OF CERTIORARI,"1321/2, February 27, a ed"
HCM 2261.b,HCM 2261.b,WRIT,(Warwick),Suggested,1322-02-27T00:00:00Z,,"1321/2,  February 27",,,same date & business as 2261a,"1321/2, February 276, WRIT t"
HCM 2262,HCM 2262,INSPEXIMUS and CONFIRMATION,(Research),Uncertain,1312-12-28T00:00:00Z,,"1312,  December 28",,,see HCM 2246 (of which this is original),"1312, December 28, INSPEXIMUS"
HCM 2268,HCM 2268,ARBITRATION,(Research),Uncertain,1286-08-06T00:00:00Z,,"1286,  August 6",,,wherever Bp Swinfield was on 1286.8.6,"1286, August 6, ARBITRATION"
