Document Number	Doc Type	Given At	Earliest Date	Latest Date	DATE	Date notes	Given at_old	COMMENTS	QUOTE_TRANSCRIPTION
HCM 226	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm
HCM 2260	LETTERS PATENT	Langele	1316-03-21T00:00:00Z		1315/6,  March 21		Langele		1315/6, March 21, LETTERS PATENT
HCM 2261.a	a ed	Warwick	1322-02-27T00:00:00Z		1321/2,  February 27		Warwick	WRIT OF CERTIORARI	1321/2, February 27, a ed
HCM 2261.b	WRIT		1322-02-27T00:00:00Z		1321/2,  February 276			Feb 27	1321/2, February 276, WRIT t
HCM 2262	INSPEXIMUS AND CONFIRMATION		1312-12-28T00:00:00Z		1312,  December 28				1312, December 28, INSPEXIMUS
HCM 2268	ARBITRATION		1286-08-06T00:00:00Z		1286,  August 6				1286, August 6, ARBITRATION
HCM 2269	AGREEMENT	the chapter	1320-12-17T00:00:00Z		1320,  16 Kal. January |December 17).		the chapter		1320, 16 Kal. January |December 17)., AGREEMENT
HCM 2270	BULL	Avignon	1327-11-04T00:00:00Z		1327,  2 Non. November | November 4		Avignon	PAPAL BULL	1327, 2 Non. November | November 4, BULL
HCM 2271	LEASE	Hereford	1358-06-11T00:00:00Z		1358,  Monday the Feast of St. Barnabas the Apostle |June 11]		Hereford		1358, Monday the Feast of St. Barnabas the Apostle |June 11], LEASE
HCM 2274	INGUISIPION	5 ela*	1323-09-17T00:00:00Z		413235 17 Edward 7I1,  Saturday next after ,   the Feast of the Exaltation of the Holy Cross |September 17].		5 ela*	?1323, INQUISITION	413235 17 Edward 7I1, Saturday next after ,  the Feast of the Exaltation of the Holy Cross |September 17]., INGUISIPION
HCM 2285	LBASB		1286-12-25T00:00:00Z		1286,  the Nativity of Our Lord December 25			LEASE	1286, the Nativity of Our Lord December 25,, LBASB
HCM 2286	LEASE		1324-08-05T00:00:00Z		1324,  August 5				1324, August 5, LEASE
HCM 2289	GRANT	Dunre.	1346-11-02T00:00:00Z		1346,  Thursdey the morrow of the Feast of All Seints i.November 2		Dunre.		1346, Thursdey the morrow of the Feast of All Seints i.November 2, GRANT
HCM 2290	LETTERS PATENT		1346-02-01T00:00:00Z		1345/6,  February 1.				1345/6, February 1., LETTERS PATENT
HCM 2291	CONFIRMATION		1346-11-03T00:00:00Z		1346,  November 3.				1346, November 3., CONFIRMATION
HCM 2298	GRANT AND QUITCLAIM	Given at	1303-02-14T00:00:00Z		1302/3,  the day of St. Valentine the Martyr | February 14}		Given at		1302/3, the day of St. Valentine the Martyr | February 14}, GRANT AND QUITCLAIM
HCM 23	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	gircg 1300	approx			gircg 1300, GRANT
HCM 2305	GRANT,  CONFIRMATION,  QUITCLAIM,  Grant also and confirmation	Coytif	1303-04-01T00:00:00Z		1303,  April 1.		Coytif	subdivide?	1303, April 1., GRANT, CONFIRMATION, QUITCLAIM, Grant also and confirmation
HCM 2312	LEASE	Gloucester.	1304-10-21T00:00:00Z		1304,  Wednesday next after the Feast of ,   at. luke the Evangelist [October 21].		Gloucester.	actually 2312, LEASE	HCM 2512, 1304, Wednesday next after the Feast of ,  at. luke the Evangelist [October 21]., LZASE
HCM 2316	MEMORANDUM	he cathedrel church of Hereford	1288-02-09T00:00:00Z		1287/8,  Monday next after the Feast of the Purification of the Virgin Mary | February 9]		he cathedrel church of Hereford		1287/8, Monday next after the Feast of the Purification of the Virgin Mary | February 9], MEMORANDUM
HCM 2317	GRANT	Hereford	1347-05-14T00:00:00Z		1347,  Monday next after the Feast of the Ascension | May 14)		Hereford		1347, Monday next after the Feast of the Ascension | May 14), GRANT
HCM 236	GRANT	Chesthunt	1343-02-18T00:00:00Z		1342/3,  Tuesday next after the Feast of St. Valentine the martyr | February 18		Chesthunt	This document appears to be a verbatim copy of HCM 250 (p.930), EXCEPT that this one does NOT include a clause RE rent (inserted prior to Given at clause)|Rent: 1 rose annually, given at the feast of the Nativity of St John the Baptist	HCM 236, 1342/3, Tuesday next after the Feast of St. Valentine the martyr | February 18, GRANT
HCM 2368	ACCOUNT		1291-09-29T00:00:00Z		1291,  Michaelmas | September 29.				1291, Michaelmas | September 29., ACCOUNT
HCM 2372	AGREEMENT	Hereford	1359-04-09T00:00:00Z		1359 April 9		Hereford		1359 April 9, AGREEMENT
HCM 238	GRANT in fee-farm	Froma Haymund’	1324-07-30T00:00:00Z		1324,  Monday next after the Feast of St. .   James the Apostle | July 30).		Froma Haymund’		1324, Monday next after the Feast of St. .   James the Apostle | July 30)., GRANT in fee-farm
HCM 2386	ORDINANCES	Hereford	1356-04-23T00:00:00Z		1356,  April 23.		Hereford		1356, April 23., ORDINANCES
HCM 2406	ACCOUNT		1292-09-28T00:00:00Z	1293,  Sept 29	1292,  Michselmas - 1293,  Michaelmas.	1293,  Sept 29			1292, Michselmas - 1293, Michaelmas., ACCOUNT
HCM 241	GRANT	Hereford	1349-12-12T00:00:00Z		1349,  Saturday next béfore the Feast of St. Lucia the Virgin | December 12]		Hereford		1349, Saturday next béfore the Feast of St. Lucia the Virgin | December 12], GRANT
HCM 242	AGREEMENT	Hereford	1355-06-01T00:00:00Z		1355,  Monday next after the Feast of the Holy Trinity |June 1}		Hereford		1355, Monday next after the Feast of the Holy Trinity |June 1}, AGREEMENT
HCM 2451	SANCTION	Whytebourne	1347-07-09T00:00:00Z		1347,  July 9		Whytebourne		1347, July 9, SANCTION
HCM 2452	LETTERS PATENT		1351-06-02T00:00:00Z		1351,  June 2				1351, June 2,, LETTERS PATENT
HCM 2453	MEMORANDUM		1355-10-16T00:00:00Z		1355,  Oetober 16.				1355, Oetober 16., MEMORANDUM
HCM 2454	LEASE	the chapter	1355-09-21T00:00:00Z		1355,  Monday the Feast of Ste Matthew the Apostle LSeptember 21]		the chapter		1355, Monday the Feast of Ste Matthew the Apostle LSeptember 21], LEASE
HCM 2455	LEASE	Bromyord	1337-01-15T00:00:00Z		1336/7,  Sunday next sfter the Feast of St. Hillary LJanuary 15].		Bromyord		1336/7, Sunday next sfter the Feast of St. Hillary LJanuary 15]., LEASE
HCM 2456	INSPEXIMUS AND CONFIRMATION	gr rag Bagg too IEA Rar e er of Hereford; Sugwas	1360-06-29T00:00:00Z		1360,  Monday next after the Feast of St,  ,   John the Baptist [June 29		gr rag Bagg too IEA Rar e er of Hereford		1360, Monday next after the Feast of St, ,  John the Baptist [June 29, INSPEXIMUS
HCM 246	GRANT	Hopewoluith'	1347-07-01T00:00:00Z		1347,  Sundey next after the Feast of St. ,   Peter and Ste Paul the Apostles (July 1).		Hopewoluith'		1347, Sundey next after the Feast of St. ,  Peter and Ste Paul the Apostles (July 1)., GRANT
HCM 2463	LEASE	chapter-house at Hereford	1310-02-19T00:00:00Z		1309/10,  Thursday next after the Feast of St. Valentine [February 19]		chapter-house at Hereford		1309/10, Thursday next after the Feast of St. Valentine [February 19], LEASE
HCM 2464	LEASE	chapter-house at Hereford	1317-07-22T00:00:00Z		1317,  Friday,  in the Feast of 5t. Mary Magdalene [July 22]		chapter-house at Hereford		1317, Friday, in the Feast of 5t. Mary Magdalene [July 22], LEASE
HCM 2465	LEASE	chapter-house at Hereford	1322-05-09T00:00:00Z		1322,  Sunday next after the Feast_of St. John before the latin Gate [may 9}		chapter-house at Hereford		1322, Sunday next after the Feast_of St. John before the latin Gate [may 9}, LEASE
HCM 2466	GRAN?	chapter-house at Hereford	1324-04-07T00:00:00Z		1324,  April 7.		chapter-house at Hereford	GRANT	1324, April 7., GRAN?
HCM 2467	NOTARIAL INSTRUMENT	the Manor cslled ye Newehalle near Thurleston' in the diocese of Lincoln	1344-09-21T00:00:00Z		1 344,  September 21.		the Manor cslled ye Newehalle near Thurleston' in the diocese of Lincoln		1 344, September 21., NOTARIAL INSTRUMENT
HCM 2468	LEASE	Hereford	1354-05-01T00:00:00Z		1354,  May 1.		Hereford		1354, May 1., LEASE
HCM 2469	INSPSXIMUS AND CONFIRMATION	Prestebury	1358-03-26T00:00:00Z		1358,  Monday next after the Feast of the ,   Annunciation [March 26]		Prestebury	date of INspeximus, subdivide?	1358, Monday next after the Feast of the ,  Annunciation [March 26],, INSPSXIMUS AND CONFIRMATION
HCM 2469-em	charter	Prestebury	1356-10-24T00:00:00Z		Sunday next before the Feast of the Apostles Simon and Judas,  29 Hdward Ill		Prestebury	(embedded), (embedded doc)	charter, Sunday next before the Feast of the Apostles Simon and Judas, 29 Hdward Ill
HCM 2470	GRANT	Hereford	1361-08-11T00:00:00Z		1361,  August ils		Hereford	August 11	1361, August ils, GRANT
HCM 25	GRAN?	Hereford	1319-11-04T00:00:00Z		1319,  November 4		Hereford		1319, November 4,, GRAN?
HCM 250	GRANT in fee-farm	Chesthunt	1343-02-18T00:00:00Z		1342/3,  Tuesdey next efter the Feast of St. ,   Valentine the martyr | February 18]		Chesthunt	Verbatim copy of HCM 237 (p.929), except that THAT copy does NOT include the clause here  (Prior to Given At) concerning rent	HCM 250, 1342/3, Tuesdey next efter the Feast of St. ,  Valentine the martyr | February 18], GRANT in fee-farm
HCM 2502	VERDICT	Canon yon	1285-12-24T00:00:00Z		|575-6 Ho,  2502,  | 71286]		Canon yon	?1286	|575-6 Ho, 2502, | 71286],, VERDICT
HCM 2503	PRESENTMENT	manor of Preston	1375-10-18T00:00:00Z	1400-10-18T00:00:00Z	Late 14th century Thursday,  in the Vigil of St. Luke the Evangelist		manor of Preston		Late 14th century Thursday, in the Vigil of St. Luke the Evangelist, PRESENTMENT
HCM 2505	DEFEASANCE	chapter-house at Hereford	1308-11-25T00:00:00Z		1308,  Monday,  the Feast of St. Catherine the Virgin [November 25].		chapter-house at Hereford		1308, Monday, the Feast of St. Catherine the Virgin [November 25]., DEFEASANCE
HCM 2506	FINAL AGREEMENT	Hereford	1328-06-02T00:00:00Z		sag Thursday next after the Feast of st. Petronilla the virgin |June 2]		Hereford	1328	sag Thursday next after the Feast of st. Petronilla the virgin |June 2], FINAL AGREEMENT
HCM 2507	RECEIPT	church of Hereford	1333-01-13T00:00:00Z		1332/3,  January 13		church of Hereford		1332/3, January 13,, RECEIPT
HCM 2508	LEASE	Hereford	1351-09-29T00:00:00Z		1551,  the Feast of St,  Michael the ,   ' Archangel [September 29]		Hereford	1351	1551, the Feast of St, Michael the ,  ' Archangel [September 29], LEASE
HCM 2509	LEASE	Hereford	1352-06-24T00:00:00Z		1352,  the Feast of the Nativity of St,  ,   John the Baptist {June 24)		Hereford		1352, the Feast of the Nativity of St, ,  John the Baptist {June 24),, LEASE
HCM 2510	LEASE	Hereford	1355-06-24T00:00:00Z		1355,  the Feast of the Nativity of St. John the Beptist (June 24).		Hereford		1355, the Feast of the Nativity of St. John the Beptist (June 24)., LEASE
HCM 2529	MANDATE	Orvieto	1290-12-13T00:00:00Z		1290,  Ides of December | December 13].		Orvieto		1290, Ides of December | December 13]., MANDATE
HCM 2530	RECEIPT	church of Hereford	1291-11-11T00:00:00Z		1291,  In the Feast of St. Martin jp    * [ylyeme. i November 11)		church of Hereford		1291, In the Feast of St. Martin jp    * [ylyeme. i November 11), RECEIPT
HCM 2531	RECEIPT	Leominster	1292-04-21T00:00:00Z		1292,  Monday next before the Feast of Ste Mark the Evangelist | April 21]		Leominster		1292, Monday next before the Feast of Ste Mark the Evangelist | April 21], RECEIPT
HCM 2532	RECEIPT	wygeml ore}	1292-07-12T00:00:00Z		1292,  4 Id. July July 12.		wygeml ore}		1292, 4 Id. July July 12., RECEIPT
HCM 2533	RECEIPT	Leominster	1292-11-11T18:09:24Z		1292-11-12T00:00:00Z		Leominster	RECEIPT	RECBIPT
HCM 2534	RECEIPT	Leominster	1294-05-18T00:00:00Z		1294,  Tuesday next before the Feast of St. Athelbert,  King \May 18]		Leominster		1294, Tuesday next before the Feast of St. Athelbert, King \May 18], RECEIPT
HCM 2535	RECEIPT f	Leominster	1294-05-18T00:00:00Z		1294,  Tuesday next before the Feast of .   St. Bthelbert,  King | May 18		Leominster		1294, Tuesday next before the Feast of .   St. Bthelbert, King | May 18, RECEIPT f
HCM 2536	RECEIPT	detin.	1294-09-30T00:00:00Z		1294,  2 Kal. Oct. | September 30}		detin.	RECEIPT	1294, 2 Kal. Oct. | September 30}, RECRIPT
HCM 2537	BOND	Gloucester.	1307-09-30T00:00:00Z		1307,  Saturday,  on the morrow of St. Michael [September 30]		Hereford		1307, Saturday, on the morrow of St. Michael [September 30], BOND
HCM 2537-2	RECEIPT		1295-04-28T00:00:00Z		1295,  4 Kel. May April 28		Gloucester.		1295, 4 Kel. May April 28,, RECEIPT
HCM 2538	RECEIPT	Hereford	1295-05-06T18:09:24Z		1295-05-07T00:00:00Z		Hereford	RECEIPT	RPCSIPT
HCM 2539	QUITTANCE	London	1295-06-06T00:00:00Z		1295,  Monday next after the Octave of the Trinity June 6)		London		1295, Monday next after the Octave of the Trinity June 6), QUITTANCE
HCM 2540	RECEIPT		1295-01-01T00:00:00Z	1295-12-31T00:00:00Z	jeirea 1295.			RECEIPT	jeirea 1295., RUCRIPT
HCM 2541	RECEIPT	Hereford	1296-06-02T00:00:00Z		1296,  Saturday,  ithe Feast of Ss. Marcellinus and Peter | June 2)		Hereford		1296, Saturday, ithe Feast of Ss. Marcellinus and Peter | June 2), RECEIPT
HCM 2542	RECEIPT	Hereford	1296-11-11T00:00:00Z		1296,  the Feast of St. Martin November 11		Hereford	RECEIPT	1296, the Feast of St. Martin November 11, RECRIPT
HCM 2543	QUITTANCE	Hereford	1297-05-04T00:00:00Z		1297,  seereet the day after the Feast of the Invention of the Holy Crogs {May 4		Hereford		1297, seereet the day after the Feast of the Invention of the Holy Crogs {May 4, QUITTANCE
HCM 2544	QUITTANCE f	Hereford	1297-05-07T00:00:00Z		1297,  Tuesday on the morrow of St. John ante vortem Jatinam iMey 7).		Hereford		1297, Tuesday on the morrow of St. John ante vortem Jatinam iMey 7)., QUITTANCE f
HCM 2545	QUITTANCE	London	1297-05-11T00:00:00Z		1297,  Saturdey next sfter the Feast of St. John ante vortem Latinam LMay 11j		London		1297, Saturdey next sfter the Feast of St. John ante vortem Latinam LMay 11j, QUITTANCE
HCM 2546	QUITTANCE	Hereford	1297-09-07T00:00:00Z		1297,  Gaturday next before the Feast of the Nativity of the Blessed Mary Sept. 7		Hereford	QUITTANCE	1297, Gaturday next before the Feast of the Nativity of the Blessed Mary Sept. 7, Q@UITTANCE
HCM 2547	QUITTANCE	Hereford	1297-10-18T00:00:00Z		1297,  the Feast of Ste Luke the Evangelist LOct. 18).		Hereford		1297, the Feast of Ste Luke the Evangelist LOct. 18)., QUITTANCE
HCM 2548	RECEIPT		1297-09-29T00:00:00Z		1297, sept 29			circa 	1297, sires Michaelmas., RECEIPT
HCM 2549	RECEIPT	York	1298-10-29T00:00:00Z		1298,  wednesday next before the Feast of 411 Seints ,  October 29].		York		1298, wednesday next before the Feast of 411 Seints , October 29]., RECEIPT
HCM 2550	RECEIPT	Kenebell'	1298-12-18T00:00:00Z		1298,  Thursday next before the — of ,   st. Thomas the Apostle. [Dee 18)		Kenebell'		1298, Thursday next before the — of ,  st. Thomas the Apostle. [Dee 18), RECEIYT
HCM 2551	RECEIPT		1298-03-25T00:00:00Z		11298,  circa March 25.	approx		1298	11298, circa March 25., RECEIPT
HCM 2552	RECEIPT		1298-09-29T00:00:00Z		1298,  sireg September 29.	approx		circa	1298, sireg September 29., RECEIPT
HCM 2553	RECEIPT	York	1299-05-06T00:00:00Z		1299,  Wednesdsy next efter the Quindene of Faster .May 6).		York		1299, Wednesdsy next efter the Quindene of Faster .May 6)., RECEIPT
HCM 2554	QUITTANCE	Hereford	1299-10-10T00:00:00Z		1299,  Saturday next after the Feast of St. Monysius { October 10].		Hereford		1299, Saturday next after the Feast of St. Monysius { October 10]., QUITTANCE
HCM 2555	RECEIPT	York	1299-10-18T00:00:00Z		1299,  in the Feast of St. Luke the Evangelist . October 18)		York		1299, in the Feast of St. Luke the Evangelist . October 18), RECEIPT
HCM 2556	QUITTANCE	York	1299-10-15T00:00:00Z		1299,  in the Feast of St. Iuke the Evangelist | October 15].		York	QUITTANCE	1299, in the Feast of St. Iuke the Evangelist | October 15]., QITTANCE
HCM 2557	RECEIPT		1299-03-25T00:00:00Z		1299,  sirca March 256	approx		circa	1299, sirca March 256, RECEIPT
HCM 2558	RECEIPT	Hereford	1300-10-02T00:00:00Z		vp tea 1300,  in the Feast of Leodegar,    . . bishop and martyr LOctober 2]		Hereford		vp tea 1300, in the Feast of Leodegar,   . . bishop and martyr LOctober 2], RECEIPT
HCM 2559	QUITTANCE	Hereford	1300-06-25T00:00:00Z		1300,  Saturday,  on the morrow of the Feast of st. John the Baptist (June 25]		Hereford		1300, Saturday, on the morrow of the Feast of st. John the Baptist (June 25], QUITTANCE
HCM 2560	QUITTANCE	Hereford	1300-10-24T00:00:00Z		1300,  Monday,  the day after the Teast of ste Romanus,  bishop October 24]		Hereford	QUITTANCE	1300, Monday, the day after the Teast of ste Romanus, bishop October 24], Q@UITLANCE
HCM 2561	QUITTANCE	York	1301-01-20T00:00:00Z		1300/1,  Jane 20		York	QUITTANCE	1300/1, Jane 20, QITTANCE
HCM 2562	QUITTANCE	Hereford	1301-04-10T00:00:00Z		1301,  Monday next before the Yeast of St. Guthlac | April 10}		Hereford		1301, Monday next before the Yeast of St. Guthlac | April 10}, QUITTANCE
HCM 2563	RECEIPT		1301-09-29T00:00:00Z		1301),  circa September 29.	approx			1301), circa September 29., RECEIPT
HCM 2564	QUITTANCE	York	1302-05-08T00:00:00Z		1302,  Tyeptag next after the Quindene of Raster (May 8).		York		1302, Tyeptag next after the Quindene of Raster (May 8)., QUITTANCE
HCM 2565	QUITTAICE	York	1302-05-03T00:00:00Z		1302,  Tuesday next after the Quindene of Easter [May 3].		York	QUITTANCE	1302, Tuesday next after the Quindene of Easter [May 3]., QUITTAICE
HCM 2566	QUITTANCE	York	1302-07-03T00:00:00Z		1302,  Tuesday next after the Feast of st. Swithin |July 3]		York		1302, Tuesday next after the Feast of st. Swithin |July 3], QUITTANCE
HCM 2567	QUITTANCE	Hereford	1302-09-22T00:00:00Z		1302,  the day after the Feast of St. Matthew the Apostle | September 22		Hereford		1302, the day after the Feast of St. Matthew the Apostle | September 22, QUITTANCE
HCM 2568	QUITTANCE	Hereford	1302-10-01T00:00:00Z	1302-10-31T00:00:00Z	1302,  Oetober		Hereford	only month given	1302, Oetober,, QUITTANCE
HCM 2569	QUITTANCE		1302-03-25T00:00:00Z		1302,  cireg March 25.	approx		circa	1302, cireg March 25., QUITTANCE
HCM 2570	RECEIPT		1302-03-25T00:00:00Z		1302,  cireg Mareh 25.	approx		circa	1302, cireg Mareh 25., RECEIPT
HCM 2571	RECEIPT		1302-09-29T00:00:00Z		1302,  Sirca September 29.	approx		circa	1302, Sirca September 29., RECEIPT
HCM 2572	QUITTANCE	Hereford	1303-04-01T00:00:00Z		1303,  Monday next after the Feast of the Annunciation | April 1].		Hereford		1303, Monday next after the Feast of the Annunciation | April 1]., QUITTANCE
HCM 2573	QUITTANCE	Heref ’	1303-05-04T00:00:00Z		1503,  Saturday,  on the morrow of the .   . Invention of the Holy Cross [May 4]		Heref ’	1303	1503, Saturday, on the morrow of the .   . Invention of the Holy Cross [May 4], QUITTANCE
HCM 2574	QUITTANCE	Hereford	1303-10-12T00:00:00Z		1303,  Saturday,  the Feast of St. .   Wilfrid,  bishop [Oet. 12|		Hereford		1303, Saturday, the Feast of St. .   Wilfrid, bishop [Oet. 12|, QUITTANCE
HCM 2575	WIfTANCE	Hereford	1304-01-12T00:00:00Z		1303/4,  Sunday within the Octave of Bpiphany {January 12)		Hereford	QUITTANCE	1303/4, Sunday within the Octave of Bpiphany {January 12),, WIfTANCE
HCM 2576	QUITTANCE	London	1305-01-31T00:00:00Z		1305,  May 13, 1303/4,  Friday,  the subvigil of the Feast of the rurification of the Blessed Mary |January 31)		London		1305, May 13, QUITTANCE, 1303/4, Friday, the subvigil of the Feast of the rurification of the Blessed Mary |January 31), QUITTANCE
HCM 2577	QUITTANCE	Hereford	1304-04-18T00:00:00Z		1304,  Saturday next before the Feast of St. George,  martyr [April 18		Hereford		1304, Saturday next before the Feast of St. George, martyr [April 18, QUITTANCE
HCM 2579	RECEIPT	London	1305-07-10T00:00:00Z		1305,  Saturday next after the Feast of the Translation of St. Thomas,  martyr [July 10]		London		1305, Saturday next after the Feast of the Translation of St. Thomas, martyr [July 10], RECEIPT
HCM 2580	QUITTANCE	Hereford	1305-08-24T00:00:00Z		1305,  in the Feast of Ste Bartholomew the Apostle [August 24]		Hereford		1305, in the Feast of Ste Bartholomew the Apostle [August 24], QUITTANCE
